Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,INFRATEL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL,ACC,ADANITRANS,AMBUJACEM,ASHOKLEY,AUROPHARMA,DMART,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BERGEPAINT,BIOCON,BOSCHLTD,CADILAHC,COLPAL,CONCOR,DABUR,DIVISLAB,DLF,GICRE,GODREJCP,HAVELLS,HDFCAMC,HDFCLIFE,HINDPETRO,HINDZINC,ICICIGI,ICICIPRULI,IBULHSGFIN,INDIGO,L&TFH,LUPIN,MARICO,MOTHERSUMI,NHPC,NMDC,NIACL,OFSS,PAGEIND,PETRONET,PIDILITIND,PEL,PFC,PGHH,PNB,SBILIFE,SRTRANSFIN,SIEMENS,UBL,MCDOWELL-N,IDEA
2011-03-01,132.20252990722656,178.275634765625,192.3719940185547,,32.88469696044922,428.716064453125,292.8667297363281,,44.46504974365234,140.35856628417972,292.3924865722656,189.599365234375,1461.9091796875,1018.0053100585938,64.37484741210939,265.53033447265625,80.58983612060547,569.1675415039062,177.4841766357422,1087.030029296875,195.908935546875,246.11708068847656,108.1888656616211,219.96484375,164.59500122070312,29.90005874633789,93.78960418701172,43.1209716796875,204.8126983642578,588.0779418945312,274.23614501953125,1194.672607421875,3193.60205078125,111.1729507446289,116.20404052734376,78.51876831054688,424.627685546875,1661.9287109375,129.68211364746094,209.8590545654297,430.6986999511719,197.50289916992188,484.7711791992188,136.07823181152344,160.25637817382812,925.6987915039062,79.73380279541016,184.3602600097656,124.2096939086914,111.8644790649414,809.1144409179688,,105.35446166992188,19.068498611450195,83.22883605957031,,628.6454467773438,,98.97396850585938,26.003427505493164,32.750473022460945,5783.04248046875,112.49983978271484,318.75640869140625,153.90921020507812,92.47249603271484,254.2935485839844,199.1085205078125,,102.08353424072266,52.75644302368164,,,21.19624900817871,88.9964599609375,,,,,,376.3580017089844,51.06222534179688,16.383607864379886,15.160829544067385,157.44305419921875,,1412.2647705078125,1425.9573974609375,45.17147445678711,127.94757843017578,321.3471984863281,64.79962921142578,1591.478515625,112.76814270019531,,691.5354614257812,796.6690673828125,464.86309814453125,,35.047897338867195
2011-03-03,129.01521301269528,178.63809204101562,195.5065460205078,,32.866073608398445,514.4887084960939,286.40435791015625,,43.4339485168457,141.7494659423828,292.296875,184.2518310546875,1459.2294921875,1024.084716796875,65.86510467529297,264.38461303710943,79.1628646850586,587.841064453125,181.97732543945312,1097.631591796875,193.6497039794922,248.98541259765625,107.48783111572266,219.63401794433597,161.58889770507812,30.039506912231445,93.76286315917969,43.85168075561523,205.0350799560547,607.6046752929688,277.35293579101557,1223.827880859375,3198.920654296875,109.14994049072266,114.44379425048828,78.3609619140625,419.7109069824219,1653.0345458984375,128.58677673339844,202.4279022216797,440.5422058105469,203.49578857421875,477.0921630859375,138.00033569335938,162.63790893554688,943.2279052734376,80.47150421142578,186.8474578857422,124.44796752929688,112.97571563720705,815.6633911132812,,106.5659408569336,19.43379211425781,80.51385498046875,,627.3284912109375,,98.51332092285156,27.012998580932614,32.566390991210945,5837.94482421875,114.00215911865234,321.00787353515625,162.28887939453125,92.79377746582031,253.0986785888672,200.13992309570312,,104.34893035888672,53.89253616333008,,,20.889497756958008,88.9896469116211,,,,,,378.2597351074219,53.37934494018555,16.928621292114258,15.160829544067385,156.65626525878906,,1386.5977783203125,1411.5596923828125,44.57355880737305,128.41069030761722,325.5440979003906,65.99375152587889,1569.7069091796875,112.22691345214844,,696.8673095703125,802.4783325195312,469.0074768066406,,34.40155029296875
2011-03-04,126.35118103027344,176.547607421875,198.2679443359375,,33.87757110595703,530.7890014648439,283.6275939941406,,44.13404846191406,140.91085815429688,290.7197570800781,181.56407165527344,1452.3463134765625,991.3218994140624,65.87230682373047,266.3060913085937,79.57546997070312,596.0625610351562,184.0599822998047,1119.7825927734377,193.69581604003903,246.5023956298828,107.15036010742188,225.7310028076172,163.516357421875,30.25588607788086,93.14129638671876,43.52058410644531,207.18499755859372,587.9136352539062,279.1280517578125,1214.38720703125,3280.845703125,109.82451629638672,114.01947784423828,78.12421417236328,421.7720642089844,1650.966796875,129.64854431152344,203.3450469970703,434.9311828613281,203.36643981933597,472.35479736328125,137.94961547851562,162.2864990234375,977.898681640625,80.67019653320312,188.10813903808597,123.63526153564452,114.64258575439452,813.2744140625,,106.60920715332031,19.652971267700195,83.84485626220703,,632.2372436523438,,98.04157257080078,27.456623077392575,32.616172790527344,5760.3681640625,115.56485748291016,321.9977111816406,160.3026123046875,94.44589233398438,258.129638671875,199.5569305419922,,105.66287231445312,53.41217041015625,,,21.27699089050293,91.37740325927734,,,,,,377.689208984375,53.10300827026367,16.53111457824707,15.160829544067385,156.27743530273438,,1386.2930908203125,1422.0931396484375,45.03646469116211,128.08653259277344,324.35540771484375,67.9627685546875,1565.8323974609375,111.48464965820312,,717.2091674804688,800.4169921875,463.0375671386719,,35.429786682128906
2011-03-07,125.11428833007812,176.33294677734375,191.5659637451172,,33.34518814086914,499.8861999511719,281.459228515625,,42.35346221923828,141.44265747070312,291.8189697265625,190.94325256347656,1491.798583984375,982.5513916015624,64.21588897705078,266.35836791992193,77.69255065917969,583.3803100585938,180.3177795410156,1116.8681640625,193.6497039794922,240.8942413330078,106.49687957763672,228.2832336425781,162.47488403320312,29.529788970947266,93.27662658691406,41.99979782104492,205.7270050048828,573.0406494140625,273.18341064453125,1166.998291015625,3350.97216796875,110.68228149414062,111.89917755126952,77.37452697753906,419.5605773925781,1657.3612060546875,125.78975677490234,195.9374237060547,424.4749755859375,195.09820556640625,460.5496826171875,136.61126708984378,160.0962677001953,976.8817749023438,76.89625549316406,185.04168701171875,125.27406311035156,116.67984771728516,807.4257202148438,,106.47940826416016,18.59361457824707,81.92839050292969,,615.1163330078125,,99.36247253417969,26.11050033569336,31.770526885986328,5755.66162109375,113.91909790039062,320.52264404296875,158.57171630859375,92.05948638916016,258.08773803710943,195.96939086914062,,104.82383728027344,51.74995422363281,,,20.57948875427246,88.97944641113281,,,,,,373.6004333496094,55.56893539428711,16.170509338378903,14.904414176940918,156.56884765625,,1387.207275390625,1426.55517578125,43.72490310668945,126.04898071289062,326.2440490722656,66.79405975341797,1555.9154052734375,109.9588623046875,,701.25830078125,802.4314575195312,480.7499084472656,,35.165416717529304
2011-03-08,126.25602722167969,175.97396850585938,195.76026916503903,,33.645957946777344,524.9197387695311,290.4811096191406,,42.74911880493164,142.32215881347656,293.8262939453125,188.84341430664062,1480.6651611328125,984.0989990234376,63.8033218383789,265.52505493164057,79.77284240722656,590.508544921875,183.0850067138672,1103.9345703125,195.4478454589844,241.2367248535156,107.59857177734376,234.8055877685547,166.40542602539062,29.80387878417969,92.8981704711914,42.78530502319336,209.16200256347656,571.2521362304688,274.40127563476557,1162.64794921875,3400.985107421875,110.43731689453124,115.46160888671876,77.2956314086914,422.9529724121094,1674.5252685546875,126.65739440917969,199.41783142089844,428.09417724609375,201.01333618164062,470.6738586425781,149.5855712890625,162.96005249023438,992.716064453125,77.23674011230469,189.06211853027344,125.76402282714844,116.86505126953124,814.1394653320312,,107.69086456298828,19.05023193359375,84.64336395263672,,597.5963134765625,,101.27723693847656,26.03409576416016,32.039138793945305,5798.0634765625,114.3343276977539,329.35321044921875,158.00816345214844,90.36148834228516,260.33065795898443,199.6466217041016,,103.9428482055664,52.649681091308594,,,20.90885162353516,92.27875518798828,,,,,,372.1741027832031,56.14292526245117,16.38771629333496,14.96851921081543,157.44305419921875,,1394.45361328125,1429.4527587890625,44.07208633422852,126.9288330078125,326.94329833984375,64.87584686279297,1557.8985595703125,111.9176254272461,,698.8836059570312,803.3684692382812,482.4767456054688,,36.36992645263672
2011-03-09,124.68617248535156,176.03733825683594,194.1855773925781,,34.36733245849609,561.3531494140625,288.4422912597656,,41.96539306640625,143.1199188232422,288.186767578125,190.13128662109372,1496.27978515625,969.0932006835938,63.82492446899414,267.72451782226557,79.85879516601562,588.3657836914062,183.04769897460938,1120.4384765625,196.4161071777344,239.4814910888672,109.14273071289062,231.1190643310547,165.2947235107422,29.601917266845703,92.79039001464844,44.16451644897461,213.3876953125,573.18701171875,276.21762084960943,1171.764892578125,3543.96240234375,108.96602630615234,115.05894470214844,77.37452697753906,426.7747802734375,1679.62158203125,125.94313049316406,195.44357299804688,431.5414123535156,201.21263122558597,468.3433227539063,147.75440979003906,164.5266876220703,987.8253173828124,76.9246826171875,191.1063995361328,126.31002807617188,116.77244567871094,827.4434814453125,,110.93588256835938,19.086759567260746,87.42678833007812,,602.1859130859375,,100.99974822998048,26.06467247009277,31.8500919342041,5725.3828125,113.21701049804688,329.27569580078125,159.10195922851562,89.4895248413086,261.169189453125,202.2027740478516,,101.59352111816406,52.77168655395508,,,20.644067764282227,91.22434997558594,,,,,,375.16937255859375,55.696556091308594,16.342592239379886,15.03262424468994,158.34640502929688,,1401.2259521484375,1443.298095703125,44.76644134521485,127.25298309326172,325.19451904296875,64.63449096679689,1525.3341064453125,110.94339752197266,,700.3173828125,803.0872192382812,470.1915283203125,,36.340492248535156
2011-03-10,127.30262756347656,175.97047424316406,191.812255859375,,35.31762313842773,547.2838745117189,285.8402404785156,,41.34518814086914,143.50852966308594,286.6573791503906,187.19155883789062,1469.3929443359375,970.171630859375,63.92627334594727,268.8529663085937,78.56111145019531,583.20556640625,183.2426605224609,1119.418212890625,193.00418090820312,236.8700408935547,106.96076965332031,230.03201293945312,165.0141143798828,29.27974510192871,92.54727172851562,42.82640075683594,211.04010009765625,567.2560424804688,276.52725219726557,1176.7630615234375,3520.3642578125,107.7706298828125,117.07301330566406,77.65074920654297,422.8670654296875,1695.72802734375,124.1407699584961,196.26661682128903,424.5898132324219,201.5063323974609,455.8122863769531,146.6165771484375,163.622314453125,985.5494995117188,77.52056884765625,187.18820190429688,127.38863372802734,113.67024993896484,824.1483154296875,,112.27713012695312,19.342470169067386,89.79955291748047,,602.1859130859375,,100.93868255615234,25.98818206787109,31.84513854980469,5710.076171875,115.82907104492188,327.33477783203125,161.85928344726562,88.75526428222656,260.22589111328125,205.56607055664062,,101.17399597167969,52.48194122314453,,,20.369598388671875,89.4896469116211,,,,,,370.7478332519531,56.46183395385742,16.21146011352539,15.064674377441404,161.46437072753906,,1404.00244140625,1476.3233642578125,44.76644134521485,129.24421691894528,322.081787109375,62.614662170410156,1648.259033203125,110.51557159423828,,698.9732055664062,803.227783203125,466.6392211914063,,36.36992645263672
2011-03-11,125.20946502685548,178.0539093017578,188.92398071289062,,35.11264419555664,533.7973022460939,279.81051635742193,,41.53544616699219,145.4517059326172,282.2127380371094,184.7557830810547,1465.8819580078125,978.6122436523438,64.00600433349611,272.31466674804693,78.20832824707031,577.6077270507812,181.41305541992188,1114.9373779296877,189.73057556152344,237.46942138671875,106.15419006347656,227.1489105224609,163.0729522705078,29.366300582885746,92.5740203857422,41.20971298217773,207.7039794921875,562.6573486328125,270.93356323242193,1157.74267578125,3459.534423828125,107.06590270996094,119.49039459228516,77.37452697753906,426.0018310546875,1706.73779296875,122.96158599853516,197.7951812744141,412.52484130859375,201.09112548828125,444.1602478027344,147.03933715820312,162.62094116210938,982.740966796875,74.5978775024414,184.01954650878903,125.8484344482422,110.89215850830078,817.5993041992188,,108.81580352783205,18.81279182434082,86.24043273925781,,601.4276123046875,,99.01282501220705,25.78928184509277,31.38254547119141,5706.60546875,116.23674011230469,329.8966979980469,157.27731323242188,88.80116271972656,261.48361206054693,201.97853088378903,,100.4054718017578,53.10718154907226,,,20.737728118896484,87.21073913574219,,,,,,368.6558532714844,56.10042190551758,15.953299522399902,14.872360229492188,161.5226593017578,,1382.0601806640625,1433.9144287109375,45.21005249023438,126.23422241210938,325.19451904296875,61.70004272460938,1664.2186279296875,110.4691925048828,,695.2991333007812,803.2748413085938,464.0736389160156,,35.6354866027832
2011-03-14,126.77931213378906,177.94833374023438,192.60337829589844,,35.36819839477539,542.0447387695311,279.1170654296875,,43.4073371887207,145.53353881835938,286.84857177734375,186.9116058349609,1475.906982421875,1012.6567993164062,66.93560028076172,275.59698486328125,79.87602233886719,587.2725219726562,183.7695770263672,1115.6295166015623,192.81976318359372,238.11155700683597,107.4402847290039,231.68621826171875,165.5775604248047,29.79906845092773,93.70857238769531,42.38341522216797,210.5953063964844,570.157470703125,273.0595703125,1163.4349365234375,3450.23779296875,109.08889770507812,119.04507446289062,77.96639251708984,437.2954711914063,1708.997802734375,124.7303695678711,200.14683532714844,420.3765563964844,203.3743133544922,459.28887939453125,148.6095733642578,164.615234375,997.8972778320312,75.44912719726562,185.24610900878903,127.7949447631836,111.21625518798828,831.9743041992188,,110.33015441894531,19.59817886352539,86.8564224243164,,603.6624145507812,,100.46138763427734,26.64482688903809,31.695911407470703,5705.56103515625,116.5160675048828,330.11016845703125,157.95469665527344,89.0765151977539,260.28875732421875,204.7140350341797,,99.27275848388672,52.74881362915039,,,21.661251068115234,87.95904541015625,,,,,,375.8824768066406,56.95077133178711,15.916457176208494,14.904414176940918,159.65769958496094,,1380.7735595703125,1415.8837890625,45.24862670898438,124.93758392333984,326.2786560058594,61.11567306518555,1635.4364013671875,111.4434051513672,,678.98974609375,803.8837890625,478.2336120605469,,35.811767578125
2011-03-15,124.44830322265624,178.16297912597656,191.49880981445312,,34.399269104003906,506.53271484375,272.5242919921875,,43.42638397216797,146.88352966308594,284.50677490234375,189.51536560058597,1423.1033935546875,1028.7410888671877,66.22673797607422,275.71881103515625,78.31148529052734,579.96923828125,181.2720031738281,1110.4559326171877,188.30126953125,235.24331665039062,105.06813049316406,231.1190643310547,161.80506896972656,29.125871658325195,91.8989486694336,41.51570129394531,205.82586669921875,556.2329711914061,266.02096557617193,1123.7745361328123,3382.079345703125,107.21888732910156,114.995361328125,77.13778686523438,445.41143798828125,1694.3817138671875,122.83453369140624,201.1345367431641,417.4083557128906,197.5457305908203,453.3292846679688,147.9347686767578,162.95721435546875,987.341064453125,72.01577758789062,178.26145935058594,123.9153823852539,110.98475646972656,828.8848876953125,,108.38314819335938,19.23288345336914,85.57878875732422,,590.2531127929688,,99.78983306884766,25.78928184509277,31.1338005065918,5719.2978515625,114.757080078125,329.21746826171875,160.96051025390625,88.9388198852539,256.03341674804693,198.39100646972656,,99.48251342773438,52.352317810058594,,,21.580547332763672,87.95904541015625,,,,,,360.858642578125,56.75946807861328,15.859070777893065,14.680047035217285,157.44305419921875,,1368.955810546875,1365.1485595703125,45.21005249023438,124.01145935058594,328.8319091796875,59.09584045410156,1623.72021484375,111.15474700927734,,650.1346435546875,809.83349609375,467.4779357910156,,35.224178314208984
